lg,yr,wk,date,tm,g,ga,xg,xga,npxg,npxga,npxgd,xpts,h_a,w,l,d,result,pts
Bundesliga,2016,1,2016-08-26,Bayern Munich,6,0,4.53263,0.185791,3.7751,0.185791,3.589309,2.9868,h,1,0,0,w,3
Bundesliga,2016,1,2016-08-26,Werder Bremen,0,6,0.185791,4.53263,0.185791,3.7751,-3.589309,0.0072,a,0,1,0,l,0
Bundesliga,2016,1,2016-08-27,Augsburg,0,2,0.452708,0.711094,0.452708,0.711094,-0.258386,1.0396999999999998,h,0,1,0,l,0
Bundesliga,2016,1,2016-08-27,Bayer Leverkusen,1,2,1.11067,1.88815,1.11067,1.88815,-0.77748,0.7988,a,0,1,0,l,0
Bundesliga,2016,1,2016-08-27,Borussia Dortmund,2,1,1.81984,1.07885,1.06206,1.07885,-0.016790000000000083,1.9621999999999997,h,1,0,0,w,3
Bundesliga,2016,1,2016-08-27,Borussia M.Gladbach,2,1,1.88815,1.11067,1.88815,1.11067,0.77748,1.9589,h,1,0,0,w,3
Bundesliga,2016,1,2016-08-27,Darmstadt,0,2,0.558815,3.13195,0.558815,3.13195,-2.5731349999999997,0.1114,a,0,1,0,l,0
Bundesliga,2016,1,2016-08-27,Eintracht Frankfurt,1,0,1.86688,0.930915,1.1091,0.930915,0.17818499999999993,2.1239999999999997,h,1,0,0,w,3
Bundesliga,2016,1,2016-08-27,FC Cologne,2,0,3.13195,0.558815,3.13195,0.558815,2.5731349999999997,2.8231,h,1,0,0,w,3
Bundesliga,2016,1,2016-08-27,Hamburger SV,1,1,0.309707,1.20744,0.309707,1.20744,-0.8977330000000001,0.5241,h,0,0,1,d,1
Bundesliga,2016,1,2016-08-27,Ingolstadt,1,1,1.20744,0.309707,1.20744,0.309707,0.8977330000000001,2.1924,a,0,0,1,d,1
Bundesliga,2016,1,2016-08-27,Mainz 05,1,2,1.07885,1.81984,1.07885,1.06206,0.016790000000000083,0.7826000000000001,a,0,1,0,l,0
Bundesliga,2016,1,2016-08-27,Schalke 04,0,1,0.930915,1.86688,0.930915,1.1091,-0.17818499999999993,0.6309,a,0,1,0,l,0
Bundesliga,2016,1,2016-08-27,Wolfsburg,2,0,0.711094,0.452708,0.711094,0.452708,0.258386,1.5401000000000002,a,1,0,0,w,3
Bundesliga,2016,1,2016-08-28,Freiburg,1,2,0.360723,0.869084,0.360723,0.869084,-0.508361,0.8162,a,0,1,0,l,0
Bundesliga,2016,1,2016-08-28,Hertha Berlin,2,1,0.869084,0.360723,0.869084,0.360723,0.508361,1.7963,h,1,0,0,w,3
Bundesliga,2016,1,2016-08-28,Hoffenheim,2,2,1.15624,2.47526,1.15624,2.47526,-1.31902,0.5347,h,0,0,1,d,1
Bundesliga,2016,1,2016-08-28,RasenBallsport Leipzig,2,2,2.47526,1.15624,2.47526,1.15624,1.31902,2.2783,a,0,0,1,d,1
Bundesliga,2016,2,2016-09-09,Bayern Munich,2,0,2.2266,0.965209,2.2266,0.965209,1.261391,2.2984,a,1,0,0,w,3
Bundesliga,2016,2,2016-09-09,Schalke 04,0,2,0.965209,2.2266,0.965209,2.2266,-1.261391,0.502,h,0,1,0,l,0
Bundesliga,2016,2,2016-09-10,Bayer Leverkusen,3,1,2.1378,0.65629,2.1378,0.65629,1.4815099999999999,2.453,h,1,0,0,w,3
Bundesliga,2016,2,2016-09-10,Borussia Dortmund,0,1,0.482478,0.950658,0.482478,0.950658,-0.46818,0.8165,a,0,1,0,l,0
Bundesliga,2016,2,2016-09-10,Borussia M.Gladbach,1,3,0.130259,1.55438,0.130259,0.796602,-0.666343,0.1926,a,0,1,0,l,0
Bundesliga,2016,2,2016-09-10,Darmstadt,1,0,0.277384,1.64252,0.277384,1.64252,-1.365136,0.2988,h,1,0,0,w,3
Bundesliga,2016,2,2016-09-10,Eintracht Frankfurt,0,1,1.64252,0.277384,1.64252,0.277384,1.365136,2.5263,a,0,1,0,l,0
Bundesliga,2016,2,2016-09-10,FC Cologne,0,0,1.36943,0.914326,1.36943,0.914326,0.45510399999999995,1.7677999999999998,a,0,0,1,d,1
Bundesliga,2016,2,2016-09-10,Freiburg,3,1,1.55438,0.130259,0.796602,0.130259,0.666343,2.6645999999999996,h,1,0,0,w,3
Bundesliga,2016,2,2016-09-10,Hamburger SV,1,3,0.65629,2.1378,0.65629,2.1378,-1.4815099999999999,0.37550000000000006,a,0,1,0,l,0
Bundesliga,2016,2,2016-09-10,Hertha Berlin,2,0,0.854096,0.986677,0.854096,0.986677,-0.13258100000000006,1.1987,a,1,0,0,w,3
Bundesliga,2016,2,2016-09-10,Ingolstadt,0,2,0.986677,0.854096,0.986677,0.854096,0.13258100000000006,1.4582,h,0,1,0,l,0
Bundesliga,2016,2,2016-09-10,RasenBallsport Leipzig,1,0,0.950658,0.482478,0.950658,0.482478,0.46818,1.8344,h,1,0,0,w,3
Bundesliga,2016,2,2016-09-10,Wolfsburg,0,0,0.914326,1.36943,0.914326,1.36943,-0.45510399999999995,0.9569,h,0,0,1,d,1
Bundesliga,2016,2,2016-09-11,Augsburg,2,1,1.65986,1.62947,1.65986,0.871696,0.7881639999999999,1.3719999999999999,a,1,0,0,w,3
Bundesliga,2016,2,2016-09-11,Hoffenheim,4,4,2.26684,0.788235,2.26684,0.788235,1.4786050000000002,2.4046000000000003,a,0,0,1,d,1
Bundesliga,2016,2,2016-09-11,Mainz 05,4,4,0.788235,2.26684,0.788235,2.26684,-1.4786050000000002,0.4333,h,0,0,1,d,1
Bundesliga,2016,2,2016-09-11,Werder Bremen,1,2,1.62947,1.65986,0.871696,1.65986,-0.7881639999999999,1.3506999999999998,h,0,1,0,l,0
Bundesliga,2016,3,2016-09-16,FC Cologne,3,0,1.40487,1.4295,1.40487,1.4295,-0.02462999999999993,1.4067,h,1,0,0,w,3
Bundesliga,2016,3,2016-09-16,Freiburg,0,3,1.4295,1.40487,1.4295,1.40487,0.02462999999999993,1.2927,a,0,1,0,l,0
Bundesliga,2016,3,2016-09-17,Bayer Leverkusen,1,2,2.11932,2.14781,1.36154,2.14781,-0.7862700000000002,1.3697,a,0,1,0,l,0
Bundesliga,2016,3,2016-09-17,Bayern Munich,3,1,0.446972,1.54672,0.446972,1.54672,-1.0997480000000002,0.4988,h,1,0,0,w,3
Bundesliga,2016,3,2016-09-17,Borussia Dortmund,6,0,4.05385,0.179729,4.05385,0.179729,3.8741209999999997,2.9779,h,1,0,0,w,3
Bundesliga,2016,3,2016-09-17,Borussia M.Gladbach,4,1,3.63049,1.20156,2.87271,1.20156,1.6711500000000001,2.7774,h,1,0,0,w,3
Bundesliga,2016,3,2016-09-17,Darmstadt,0,6,0.179729,4.05385,0.179729,4.05385,-3.8741209999999997,0.012400000000000001,a,0,1,0,l,0
Bundesliga,2016,3,2016-09-17,Eintracht Frankfurt,2,1,2.14781,2.11932,2.14781,1.36154,0.7862700000000002,1.3601,h,1,0,0,w,3
Bundesliga,2016,3,2016-09-17,Hamburger SV,0,4,1.08134,3.30009,1.08134,2.54232,-1.4609800000000002,0.1433,h,0,1,0,l,0
Bundesliga,2016,3,2016-09-17,Hoffenheim,0,0,1.93562,2.34852,1.93562,2.34852,-0.41290000000000027,1.0794,h,0,0,1,d,1
Bundesliga,2016,3,2016-09-17,Ingolstadt,1,3,1.54672,0.446972,1.54672,0.446972,1.0997480000000002,2.2691,a,0,1,0,l,0
Bundesliga,2016,3,2016-09-17,RasenBallsport Leipzig,4,0,3.30009,1.08134,2.54232,1.08134,1.4609800000000002,2.7784999999999997,a,1,0,0,w,3
Bundesliga,2016,3,2016-09-17,Werder Bremen,1,4,1.20156,3.63049,1.20156,2.87271,-1.6711500000000001,0.1497,a,0,1,0,l,0
Bundesliga,2016,3,2016-09-17,Wolfsburg,0,0,2.34852,1.93562,2.34852,1.93562,0.41290000000000027,1.6839,a,0,0,1,d,1
Bundesliga,2016,3,2016-09-18,Augsburg,1,3,0.82866,1.54386,0.82866,1.54386,-0.7152000000000001,0.7161000000000001,h,0,1,0,l,0
Bundesliga,2016,3,2016-09-18,Hertha Berlin,2,0,0.724842,0.424457,0.724842,0.424457,0.300385,1.6088,h,1,0,0,w,3
Bundesliga,2016,3,2016-09-18,Mainz 05,3,1,1.54386,0.82866,1.54386,0.82866,0.7152000000000001,2.0037000000000003,a,1,0,0,w,3
Bundesliga,2016,3,2016-09-18,Schalke 04,0,2,0.424457,0.724842,0.424457,0.724842,-0.300385,0.9689,a,0,1,0,l,0
Bundesliga,2016,4,2016-09-20,Borussia Dortmund,5,1,2.34245,2.71087,2.34245,2.71087,-0.36841999999999997,1.1589,a,1,0,0,w,3
Bundesliga,2016,4,2016-09-20,Darmstadt,1,1,1.62811,1.44238,1.62811,1.44238,0.18572999999999995,1.5059,h,0,0,1,d,1
Bundesliga,2016,4,2016-09-20,Eintracht Frankfurt,2,0,0.352096,0.782075,0.352096,0.782075,-0.42997899999999994,0.8576000000000001,a,1,0,0,w,3
Bundesliga,2016,4,2016-09-20,Freiburg,1,0,1.78293,0.647916,1.78293,0.647916,1.135014,2.3531,h,1,0,0,w,3
Bundesliga,2016,4,2016-09-20,Hamburger SV,0,1,0.647916,1.78293,0.647916,1.78293,-1.135014,0.42260000000000003,a,0,1,0,l,0
Bundesliga,2016,4,2016-09-20,Hoffenheim,1,1,1.44238,1.62811,1.44238,1.62811,-0.18572999999999995,1.2130999999999998,a,0,0,1,d,1
Bundesliga,2016,4,2016-09-20,Ingolstadt,0,2,0.782075,0.352096,0.782075,0.352096,0.42997899999999994,1.7237,h,0,1,0,l,0
Bundesliga,2016,4,2016-09-20,Wolfsburg,1,5,2.71087,2.34245,2.71087,2.34245,0.36841999999999997,1.6191,h,0,1,0,l,0
Bundesliga,2016,4,2016-09-21,Augsburg,0,0,0.230565,2.0338,0.230565,1.27602,-1.045455,0.1553,a,0,0,1,d,1
Bundesliga,2016,4,2016-09-21,Bayer Leverkusen,0,0,2.0338,0.230565,1.27602,0.230565,1.045455,2.7413000000000003,h,0,0,1,d,1
Bundesliga,2016,4,2016-09-21,Bayern Munich,3,0,2.71721,0.153422,2.71721,0.153422,2.563788,2.8801,h,1,0,0,w,3
Bundesliga,2016,4,2016-09-21,Borussia M.Gladbach,1,1,0.224262,1.58682,0.224262,1.58682,-1.362558,0.306,a,0,0,1,d,1
Bundesliga,2016,4,2016-09-21,FC Cologne,3,1,1.18875,1.37614,1.18875,1.37614,-0.18738999999999995,1.2194,a,1,0,0,w,3
Bundesliga,2016,4,2016-09-21,Hertha Berlin,0,3,0.153422,2.71721,0.153422,2.71721,-2.563788,0.0685,a,0,1,0,l,0
Bundesliga,2016,4,2016-09-21,Mainz 05,2,1,1.38592,0.916,1.38592,0.916,0.46992,1.7607,a,1,0,0,w,3
Bundesliga,2016,4,2016-09-21,RasenBallsport Leipzig,1,1,1.58682,0.224262,1.58682,0.224262,1.362558,2.5032,h,0,0,1,d,1
Bundesliga,2016,4,2016-09-21,Schalke 04,1,3,1.37614,1.18875,1.37614,1.18875,0.18738999999999995,1.4741,h,0,1,0,l,0
Bundesliga,2016,4,2016-09-21,Werder Bremen,1,2,0.916,1.38592,0.916,1.38592,-0.46992,0.9621000000000001,h,0,1,0,l,0
Bundesliga,2016,5,2016-09-23,Borussia Dortmund,3,1,3.2333,1.05384,3.2333,1.05384,2.1794599999999997,2.6869,h,1,0,0,w,3
Bundesliga,2016,5,2016-09-23,Freiburg,1,3,1.05384,3.2333,1.05384,3.2333,-2.1794599999999997,0.2122,a,0,1,0,l,0
Bundesliga,2016,5,2016-09-24,Augsburg,1,0,1.95473,0.129868,1.95473,0.129868,1.824862,2.6856,h,1,0,0,w,3
Bundesliga,2016,5,2016-09-24,Bayer Leverkusen,3,2,1.73598,1.73915,1.73598,1.73915,-0.003169999999999895,1.3107,a,1,0,0,w,3
Bundesliga,2016,5,2016-09-24,Bayern Munich,1,0,2.12276,0.304936,2.12276,0.304936,1.8178239999999999,2.6862,a,1,0,0,w,3
Bundesliga,2016,5,2016-09-24,Borussia M.Gladbach,2,0,1.18177,0.535119,1.18177,0.535119,0.646651,1.9549,h,1,0,0,w,3
Bundesliga,2016,5,2016-09-24,Darmstadt,0,1,0.129868,1.95473,0.129868,1.95473,-1.824862,0.1833,a,0,1,0,l,0
Bundesliga,2016,5,2016-09-24,Eintracht Frankfurt,3,3,1.50633,1.17158,1.50633,0.413801,1.0925289999999999,1.6606,h,0,0,1,d,1
Bundesliga,2016,5,2016-09-24,Hamburger SV,0,1,0.304936,2.12276,0.304936,2.12276,-1.8178239999999999,0.20040000000000002,h,0,1,0,l,0
Bundesliga,2016,5,2016-09-24,Hertha Berlin,3,3,1.17158,1.50633,0.413801,1.50633,-1.0925289999999999,1.0279,a,0,0,1,d,1
Bundesliga,2016,5,2016-09-24,Ingolstadt,0,2,0.535119,1.18177,0.535119,1.18177,-0.646651,0.7384,a,0,1,0,l,0
Bundesliga,2016,5,2016-09-24,Mainz 05,2,3,1.73915,1.73598,1.73915,1.73598,0.003169999999999895,1.4055000000000002,h,0,1,0,l,0
Bundesliga,2016,5,2016-09-24,Werder Bremen,2,1,1.11466,0.483419,1.11466,0.483419,0.6312409999999999,1.9061,h,1,0,0,w,3
Bundesliga,2016,5,2016-09-24,Wolfsburg,1,2,0.483419,1.11466,0.483419,1.11466,-0.6312409999999999,0.7664000000000001,a,0,1,0,l,0
Bundesliga,2016,5,2016-09-25,FC Cologne,1,1,0.366844,0.819612,0.366844,0.819612,-0.452768,0.8108,h,0,0,1,d,1
Bundesliga,2016,5,2016-09-25,Hoffenheim,2,1,1.8649,1.04708,1.8649,1.04708,0.81782,2.0308,h,1,0,0,w,3
Bundesliga,2016,5,2016-09-25,RasenBallsport Leipzig,1,1,0.819612,0.366844,0.819612,0.366844,0.452768,1.8089000000000002,a,0,0,1,d,1
Bundesliga,2016,5,2016-09-25,Schalke 04,1,2,1.04708,1.8649,1.04708,1.8649,-0.81782,0.7090000000000001,a,0,1,0,l,0
Bundesliga,2016,6,2016-09-30,Augsburg,1,2,0.313816,1.04258,0.313816,1.04258,-0.7287640000000001,0.6614,a,0,1,0,l,0
Bundesliga,2016,6,2016-09-30,RasenBallsport Leipzig,2,1,1.04258,0.313816,1.04258,0.313816,0.7287640000000001,1.9969999999999999,h,1,0,0,w,3
Bundesliga,2016,6,2016-10-01,Bayer Leverkusen,2,0,1.52698,0.837447,1.52698,0.837447,0.689533,1.9688,h,1,0,0,w,3
Bundesliga,2016,6,2016-10-01,Bayern Munich,1,1,2.20563,0.899194,2.20563,0.899194,1.3064360000000002,2.3080000000000003,h,0,0,1,d,1
Bundesliga,2016,6,2016-10-01,Borussia Dortmund,0,2,0.837447,1.52698,0.837447,1.52698,-0.689533,0.7577,a,0,1,0,l,0
Bundesliga,2016,6,2016-10-01,Darmstadt,2,2,1.27773,1.54526,0.519952,1.54526,-1.025308,1.1228000000000002,h,0,0,1,d,1
Bundesliga,2016,6,2016-10-01,Eintracht Frankfurt,0,1,0.715723,0.464817,0.715723,0.464817,0.250906,1.5448,a,0,1,0,l,0
Bundesliga,2016,6,2016-10-01,FC Cologne,1,1,0.899194,2.20563,0.899194,2.20563,-1.3064360000000002,0.5026,a,0,0,1,d,1
Bundesliga,2016,6,2016-10-01,Freiburg,1,0,0.464817,0.715723,0.464817,0.715723,-0.250906,1.0408,h,1,0,0,w,3
Bundesliga,2016,6,2016-10-01,Hamburger SV,0,2,1.11245,2.44266,1.11245,1.68496,-0.5725100000000001,0.4879,a,0,1,0,l,0
Bundesliga,2016,6,2016-10-01,Hertha Berlin,2,0,2.44266,1.11245,1.68496,1.11245,0.5725100000000001,2.3419,h,1,0,0,w,3
Bundesliga,2016,6,2016-10-01,Hoffenheim,2,1,3.31162,2.21758,3.31162,1.45981,1.85181,2.1105,a,1,0,0,w,3
Bundesliga,2016,6,2016-10-01,Ingolstadt,1,2,2.21758,3.31162,1.45981,3.31162,-1.85181,0.6993,h,0,1,0,l,0
Bundesliga,2016,6,2016-10-01,Werder Bremen,2,2,1.54526,1.27773,1.54526,0.519952,1.025308,1.5598999999999998,a,0,0,1,d,1
Bundesliga,2016,6,2016-10-02,Borussia M.Gladbach,0,4,0.802215,3.05307,0.802215,2.29529,-1.4930750000000002,0.1375,a,0,1,0,l,0
Bundesliga,2016,6,2016-10-02,Mainz 05,0,0,0.256465,1.32308,0.256465,1.32308,-1.066615,0.4277,a,0,0,1,d,1
Bundesliga,2016,6,2016-10-02,Schalke 04,4,0,3.05307,0.802215,2.29529,0.802215,1.4930750000000002,2.7892,h,1,0,0,w,3
Bundesliga,2016,6,2016-10-02,Wolfsburg,0,0,1.32308,0.256465,1.32308,0.256465,1.066615,2.3174,h,0,0,1,d,1
Bundesliga,2016,7,2016-10-14,Borussia Dortmund,1,1,2.60334,0.994838,1.84556,0.994838,0.8507220000000001,2.5053,h,0,0,1,d,1
Bundesliga,2016,7,2016-10-14,Hertha Berlin,1,1,0.994838,2.60334,0.994838,1.84556,-0.8507220000000001,0.3468,a,0,0,1,d,1
Bundesliga,2016,7,2016-10-15,Augsburg,1,1,0.414301,0.73357000000000006,0.414301,0.73357000000000006,-0.3192690000000001,0.972,h,0,0,1,d,1
Bundesliga,2016,7,2016-10-15,Bayer Leverkusen,1,2,0.548105,1.51915,0.548105,1.51915,-0.971045,0.5057,a,0,1,0,l,0
Bundesliga,2016,7,2016-10-15,Bayern Munich,2,2,1.4782,2.01559,1.4782,2.01559,-0.53739,0.9165,a,0,0,1,d,1
Bundesliga,2016,7,2016-10-15,Borussia M.Gladbach,0,0,3.46166,0.209913,1.93356,0.209913,1.723647,2.9623999999999997,h,0,0,1,d,1
Bundesliga,2016,7,2016-10-15,Eintracht Frankfurt,2,2,2.01559,1.4782,2.01559,1.4782,0.53739,1.8165,h,0,0,1,d,1
Bundesliga,2016,7,2016-10-15,FC Cologne,2,1,3.98127,1.07265,3.2235,0.314875,2.908625,2.8688,h,1,0,0,w,3
Bundesliga,2016,7,2016-10-15,Freiburg,1,2,0.860554,2.4316,0.860554,1.67382,-0.813266,0.36019999999999996,a,0,1,0,l,0
Bundesliga,2016,7,2016-10-15,Hamburger SV,0,0,0.209913,3.46166,0.209913,1.93356,-1.723647,0.0215,a,0,0,1,d,1
Bundesliga,2016,7,2016-10-15,Hoffenheim,2,1,2.4316,0.860554,1.67382,0.860554,0.813266,2.4847999999999995,h,1,0,0,w,3
Bundesliga,2016,7,2016-10-15,Ingolstadt,1,2,1.07265,3.98127,0.314875,3.2235,-2.908625,0.08510000000000001,a,0,1,0,l,0
Bundesliga,2016,7,2016-10-15,Schalke 04,1,1,0.73357000000000006,0.414301,0.73357000000000006,0.414301,0.3192690000000001,1.611,a,0,0,1,d,1
Bundesliga,2016,7,2016-10-15,Werder Bremen,2,1,1.51915,0.548105,1.51915,0.548105,0.971045,2.2714999999999996,h,1,0,0,w,3
Bundesliga,2016,7,2016-10-16,Darmstadt,1,2,1.93127,2.86526,0.415715,2.10748,-1.6917649999999997,0.7191000000000001,a,0,1,0,l,0
Bundesliga,2016,7,2016-10-16,Mainz 05,2,1,2.86526,1.93127,2.10748,0.415715,1.6917649999999997,2.0577,h,1,0,0,w,3
Bundesliga,2016,7,2016-10-16,RasenBallsport Leipzig,1,0,1.82053,0.684268,1.06275,0.684268,0.3784820000000001,2.3044000000000002,a,1,0,0,w,3
Bundesliga,2016,7,2016-10-16,Wolfsburg,0,1,0.684268,1.82053,0.684268,1.06275,-0.3784820000000001,0.48550000000000004,h,0,1,0,l,0
Bundesliga,2016,8,2016-10-21,Eintracht Frankfurt,3,0,1.31119,0.163638,1.31119,0.163638,1.1475520000000001,2.3759,a,1,0,0,w,3
Bundesliga,2016,8,2016-10-21,Hamburger SV,0,3,0.163638,1.31119,0.163638,1.31119,-1.1475520000000001,0.36679999999999996,h,0,1,0,l,0
Bundesliga,2016,8,2016-10-22,Augsburg,1,2,1.23006,1.53071,1.23006,1.53071,-0.3006500000000001,1.0447,a,0,1,0,l,0
Bundesliga,2016,8,2016-10-22,Bayer Leverkusen,0,3,0.598561,2.30615,0.598561,2.30615,-1.707589,0.2858,h,0,1,0,l,0
Bundesliga,2016,8,2016-10-22,Bayern Munich,2,0,1.73353,0.49977,1.73353,0.49977,1.23376,2.3381000000000003,h,1,0,0,w,3
Bundesliga,2016,8,2016-10-22,Borussia Dortmund,3,3,2.51636,1.69325,2.51636,1.69325,0.8231100000000002,1.9654,a,0,0,1,d,1
Bundesliga,2016,8,2016-10-22,Borussia M.Gladbach,0,2,0.49977,1.73353,0.49977,1.73353,-1.23376,0.44600000000000006,a,0,1,0,l,0
Bundesliga,2016,8,2016-10-22,Darmstadt,3,1,1.38031,0.577877,1.38031,0.577877,0.802433,2.0661,h,1,0,0,w,3
Bundesliga,2016,8,2016-10-22,FC Cologne,1,2,1.35639,1.43523,1.35639,1.43523,-0.07884000000000002,1.3028,a,0,1,0,l,0
Bundesliga,2016,8,2016-10-22,Freiburg,2,1,1.53071,1.23006,1.53071,1.23006,0.3006500000000001,1.6443999999999999,h,1,0,0,w,3
Bundesliga,2016,8,2016-10-22,Hertha Berlin,2,1,1.43523,1.35639,1.43523,1.35639,0.07884000000000002,1.3801999999999999,h,1,0,0,w,3
Bundesliga,2016,8,2016-10-22,Hoffenheim,3,0,2.30615,0.598561,2.30615,0.598561,1.707589,2.5787,a,1,0,0,w,3
Bundesliga,2016,8,2016-10-22,Ingolstadt,3,3,1.69325,2.51636,1.69325,2.51636,-0.8231100000000002,0.8068,h,0,0,1,d,1
Bundesliga,2016,8,2016-10-22,Wolfsburg,1,3,0.577877,1.38031,0.577877,1.38031,-0.802433,0.6594,a,0,1,0,l,0
Bundesliga,2016,8,2016-10-23,Mainz 05,0,3,0.987414,1.21196,0.987414,1.21196,-0.2245459999999999,1.1439,a,0,1,0,l,0
Bundesliga,2016,8,2016-10-23,RasenBallsport Leipzig,3,1,3.33619,0.913725,3.33619,0.913725,2.4224650000000003,2.7724,h,1,0,0,w,3
Bundesliga,2016,8,2016-10-23,Schalke 04,3,0,1.21196,0.987414,1.21196,0.987414,0.2245459999999999,1.5471,h,1,0,0,w,3
Bundesliga,2016,8,2016-10-23,Werder Bremen,1,3,0.913725,3.33619,0.913725,3.33619,-2.4224650000000003,0.1486,a,0,1,0,l,0
Bundesliga,2016,9,2016-10-28,Borussia M.Gladbach,0,0,0.605662,0.388618,0.605662,0.388618,0.21704400000000001,1.5608,h,0,0,1,d,1
Bundesliga,2016,9,2016-10-28,Eintracht Frankfurt,0,0,0.388618,0.605662,0.388618,0.605662,-0.21704400000000001,0.9968,a,0,0,1,d,1
Bundesliga,2016,9,2016-10-29,Augsburg,1,3,0.724858,3.47304,0.724858,3.47304,-2.748182,0.09079999999999999,h,0,1,0,l,0
Bundesliga,2016,9,2016-10-29,Bayer Leverkusen,2,1,2.12119,1.1136,2.12119,1.1136,1.00759,2.1,a,1,0,0,w,3
Bundesliga,2016,9,2016-10-29,Bayern Munich,3,1,3.47304,0.724858,3.47304,0.724858,2.748182,2.8565,a,1,0,0,w,3
Bundesliga,2016,9,2016-10-29,Borussia Dortmund,0,0,0.816002,0.46649,0.816002,0.46649,0.349512,1.6751,h,0,0,1,d,1
Bundesliga,2016,9,2016-10-29,Darmstadt,0,2,0.199603,1.64364,0.199603,1.64364,-1.444037,0.22649999999999998,h,0,1,0,l,0
Bundesliga,2016,9,2016-10-29,Freiburg,3,1,1.71134,1.29428,0.953566,1.29428,-0.3407140000000001,1.6929999999999998,a,1,0,0,w,3
Bundesliga,2016,9,2016-10-29,Ingolstadt,0,2,0.216935,2.21072,0.216935,1.45294,-1.236005,0.12210000000000001,a,0,1,0,l,0
Bundesliga,2016,9,2016-10-29,Mainz 05,2,0,2.21072,0.216935,1.45294,0.216935,1.236005,2.7978,h,1,0,0,w,3
Bundesliga,2016,9,2016-10-29,RasenBallsport Leipzig,2,0,1.64364,0.199603,1.64364,0.199603,1.444037,2.6201999999999996,a,1,0,0,w,3
Bundesliga,2016,9,2016-10-29,Schalke 04,0,0,0.46649,0.816002,0.46649,0.816002,-0.349512,0.9386,a,0,0,1,d,1
Bundesliga,2016,9,2016-10-29,Werder Bremen,1,3,1.29428,1.71134,1.29428,0.953566,0.3407140000000001,1.0282,h,0,1,0,l,0
Bundesliga,2016,9,2016-10-29,Wolfsburg,1,2,1.1136,2.12119,1.1136,2.12119,-1.00759,0.6804,h,0,1,0,l,0
Bundesliga,2016,9,2016-10-30,FC Cologne,3,0,2.93112,0.307566,2.17358,0.307566,1.8660139999999998,2.8760000000000003,h,1,0,0,w,3
Bundesliga,2016,9,2016-10-30,Hamburger SV,0,3,0.307566,2.93112,0.307566,2.17358,-1.8660139999999998,0.07339999999999999,a,0,1,0,l,0
Bundesliga,2016,9,2016-10-30,Hertha Berlin,0,1,0.251867,2.77857,0.251867,2.77857,-2.5267030000000004,0.1014,a,0,1,0,l,0
Bundesliga,2016,9,2016-10-30,Hoffenheim,1,0,2.77857,0.251867,2.77857,0.251867,2.5267030000000004,2.835,h,1,0,0,w,3
Bundesliga,2016,10,2016-11-04,Borussia M.Gladbach,0,3,0.636014,1.66602,0.636014,1.66602,-1.0300060000000002,0.5357000000000001,a,0,1,0,l,0
Bundesliga,2016,10,2016-11-04,Hertha Berlin,3,0,1.66602,0.636014,1.66602,0.636014,1.0300060000000002,2.2388,h,1,0,0,w,3
Bundesliga,2016,10,2016-11-05,Augsburg,2,0,1.15792,0.587399,1.15792,0.587399,0.5705210000000001,1.9003999999999999,a,1,0,0,w,3
Bundesliga,2016,10,2016-11-05,Bayer Leverkusen,3,2,0.674028,0.863248,0.674028,0.863248,-0.18922000000000005,1.047,h,1,0,0,w,3
Bundesliga,2016,10,2016-11-05,Bayern Munich,1,1,1.49595,0.24666,1.49595,0.24666,1.2492899999999998,2.4083,h,0,0,1,d,1
Bundesliga,2016,10,2016-11-05,Borussia Dortmund,5,2,2.88584,0.716262,2.88584,0.716262,2.169578,2.7185,a,1,0,0,w,3
Bundesliga,2016,10,2016-11-05,Darmstadt,2,3,0.863248,0.674028,0.863248,0.674028,0.18922000000000005,1.5776999999999999,a,0,1,0,l,0
Bundesliga,2016,10,2016-11-05,Eintracht Frankfurt,1,0,0.860348,0.638081,0.860348,0.638081,0.222267,1.5592000000000001,h,1,0,0,w,3
Bundesliga,2016,10,2016-11-05,FC Cologne,0,1,0.638081,0.860348,0.638081,0.860348,-0.222267,1.0627,a,0,1,0,l,0
Bundesliga,2016,10,2016-11-05,Freiburg,0,3,0.916201,2.12583,0.916201,1.36806,-0.451859,0.49950000000000006,h,0,1,0,l,0
Bundesliga,2016,10,2016-11-05,Hamburger SV,2,5,0.716262,2.88584,0.716262,2.88584,-2.169578,0.19070000000000004,h,0,1,0,l,0
Bundesliga,2016,10,2016-11-05,Hoffenheim,1,1,0.24666,1.49595,0.24666,1.49595,-1.2492899999999998,0.37129999999999996,a,0,0,1,d,1
Bundesliga,2016,10,2016-11-05,Ingolstadt,0,2,0.587399,1.15792,0.587399,1.15792,-0.5705210000000001,0.7877000000000001,h,0,1,0,l,0
Bundesliga,2016,10,2016-11-05,Wolfsburg,3,0,2.12583,0.916201,1.36806,0.916201,0.451859,2.3052,a,1,0,0,w,3
Bundesliga,2016,10,2016-11-06,Mainz 05,1,3,0.510631,2.98005,0.510631,2.98005,-2.469419,0.1457,a,0,1,0,l,0
Bundesliga,2016,10,2016-11-06,RasenBallsport Leipzig,3,1,2.98005,0.510631,2.98005,0.510631,2.469419,2.7776,h,1,0,0,w,3
Bundesliga,2016,10,2016-11-06,Schalke 04,3,1,2.84842,1.0143,2.84842,0.256518,2.591902,2.5989999999999998,h,1,0,0,w,3
