team,player,nation,pos,age,mp,starts,min,gls,ast,pk,pkatt,crdy,crdr,gls2,ast2,ga,gpk,gapk,xg,npxg,xa,xg2,xa2,xgxa,npxg2,npxgxa
Bournemouth,Dan Gosling,ENG,"DF,MF",29,8,5,464,2,0,0,0,1,0,0.39,0,0.39,0.39,0.39,1.1,1.1,0.1,0.24,0.03,0.27,0.24,0.27
Bournemouth,Simon Francis,ENG,DF,34,9,5,458,0,0,0,0,3,1,0,0,0,0,0,0.1,0.1,0,0.03,0.01,0.04,0.03,0.04
Bournemouth,Arnaut Groeneveld,NED,MF,22,9,4,407,0,0,0,0,0,0,0,0,0,0,0,0.7,0.7,0.1,0.15,0.03,0.18,0.15,0.18
Bournemouth,Charlie Daniels,ENG,DF,32,2,2,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.05,0.05,0,0.05
Bournemouth,Jack Simpson,ENG,DF,22,3,1,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01
Bournemouth,Junior Stanislas,ENG,MF,29,2,1,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.07,0.12,0.19,0.07,0.19
Bournemouth,Andrew Surman,ENG,MF,32,3,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bournemouth,Jordon Ibe,ENG,"FW,MF",23,2,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bournemouth,Artur Boruc,POL,GK,39,0,0,,,,,,,,,,,,,,,,,,,,
Bournemouth,Mihai Dobre,ROU,,20,0,0,,,,,,,,,,,,,,,,,,,,
Bournemouth,Lloyd Kelly,ENG,,20,0,0,,,,,,,,,,,,,,,,,,,,
Bournemouth,Gavin Kilkenny,IRL,MF,19,0,0,,,,,,,,,,,,,,,,,,,,
Bournemouth,Christain Saydee,LBR,FW,17,0,0,,,,,,,,,,,,,,,,,,,,
Brighton & Hove Albion,Mathew Ryan,AUS,GK,27,21,21,1890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brighton & Hove Albion,Dan Burn,ENG,DF,27,21,21,1822,0,0,0,0,3,0,0,0,0,0,0,0.7,0.7,1,0.04,0.05,0.08,0.04,0.08
Brighton & Hove Albion,Lewis Dunk,ENG,DF,27,19,19,1710,2,3,0,0,7,0,0.11,0.16,0.26,0.11,0.26,1.8,1.8,0.5,0.09,0.03,0.12,0.09,0.12
Brighton & Hove Albion,Davy Pröpper,NED,MF,27,18,18,1620,1,1,0,0,3,0,0.06,0.06,0.11,0.06,0.11,1.2,1.2,1.1,0.07,0.06,0.13,0.07,0.13
Brighton & Hove Albion,Dale Stephens,ENG,MF,30,19,18,1601,0,1,0,0,5,0,0,0.06,0.06,0,0.06,0.4,0.4,0.5,0.02,0.03,0.05,0.02,0.05
Brighton & Hove Albion,Neal Maupay,FRA,"FW,MF",22,21,17,1541,7,1,1,1,2,0,0.41,0.06,0.47,0.35,0.41,7.6,6.8,1.5,0.44,0.09,0.53,0.4,0.49
Brighton & Hove Albion,Martín Montoya,ESP,DF,28,18,17,1387,0,1,0,0,3,0,0,0.06,0.06,0,0.06,1.3,1.3,1,0.08,0.07,0.15,0.08,0.15
Brighton & Hove Albion,Adam Webster,ENG,DF,24,16,16,1386,3,0,0,0,2,0,0.19,0,0.19,0.19,0.19,0.8,0.8,0.8,0.05,0.05,0.1,0.05,0.1
Brighton & Hove Albion,Pascal Groß,GER,MF,28,18,15,1244,1,4,0,0,2,0,0.07,0.29,0.36,0.07,0.36,1.2,1.2,4,0.09,0.29,0.38,0.09,0.38
Brighton & Hove Albion,Aaron Mooy,AUS,MF,28,15,13,1056,1,1,0,0,2,1,0.09,0.09,0.17,0.09,0.17,1.1,1.1,1.5,0.09,0.13,0.22,0.09,0.22
Brighton & Hove Albion,Steven Alzate,COL,MF,20,14,10,938,0,0,0,0,1,0,0,0,0,0,0,1.1,1.1,0.6,0.11,0.06,0.16,0.11,0.16
Brighton & Hove Albion,Leandro Trossard,BEL,FW,24,15,10,876,2,3,0,0,0,0,0.21,0.31,0.51,0.21,0.51,1.7,1.7,2.9,0.18,0.29,0.47,0.18,0.47
Brighton & Hove Albion,Shane Duffy,IRL,"DF,MF",27,12,8,801,1,0,0,0,0,0,0.11,0,0.11,0.11,0.11,1.5,1.5,0,0.17,0,0.17,0.17,0.17
Brighton & Hove Albion,Aaron Connolly,IRL,FW,19,14,8,721,2,0,0,0,0,0,0.25,0,0.25,0.25,0.25,2.4,2.4,0.1,0.3,0.01,0.31,0.3,0.31
Brighton & Hove Albion,Solly March,ENG,MF,25,8,6,601,0,1,0,0,1,0,0,0.15,0.15,0,0.15,0.3,0.3,0.5,0.04,0.07,0.12,0.04,0.12
Brighton & Hove Albion,Yves Bissouma,MLI,MF,22,10,5,405,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.1,0.03,0.02,0.05,0.03,0.05
Brighton & Hove Albion,Glenn Murray,ENG,FW,35,13,3,398,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0.4,0.15,0.09,0.23,0.15,0.23
Brighton & Hove Albion,Bernardo,BRA,DF,24,5,2,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.01,0.06,0.07,0.01,0.07
Brighton & Hove Albion,Alireza Jahanbakhsh,IRN,"FW,MF",25,3,1,128,2,0,0,0,0,0,1.41,0,1.41,1.41,1.41,0.2,0.2,0,0.17,0.02,0.18,0.17,0.18
Brighton & Hove Albion,Ezequiel Schelotto,ITA,"DF,MF",30,4,1,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02
Brighton & Hove Albion,Jürgen Locadia,NED,FW,25,2,1,86,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,0,0.4,0.4,0.4
Brighton & Hove Albion,Florin Andone,ROU,FW,26,3,1,71,1,0,0,0,0,1,1.27,0,1.27,1.27,1.27,0.2,0.2,0,0.19,0.05,0.24,0.19,0.24
Brighton & Hove Albion,Gaëtan Bong,CMR,DF,31,4,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.21,0.21,0,0.21
Brighton & Hove Albion,Leon Balogun,NGA,DF,31,0,0,,,,,,,,,,,,,,,,,,,,
Brighton & Hove Albion,Tudor Băluță,ROU,DF,20,0,0,,,,,,,,,,,,,,,,,,,,
Brighton & Hove Albion,David Button,ENG,GK,30,0,0,,,,,,,,,,,,,,,,,,,,
Burnley,Ben Mee,ENG,DF,29,21,21,1890,0,0,0,0,3,0,0,0,0,0,0,0.5,0.5,0.1,0.02,0.01,0.03,0.02,0.03
Burnley,Nick Pope,ENG,GK,27,21,21,1890,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0.03,0.03,0,0.03
Burnley,James Tarkowski,ENG,DF,26,21,21,1890,1,1,0,0,5,0,0.05,0.05,0.1,0.05,0.1,1.5,1.5,0.9,0.07,0.04,0.11,0.07,0.11
Burnley,Dwight McNeil,ENG,MF,19,21,21,1815,1,4,0,0,3,0,0.05,0.2,0.25,0.05,0.25,1,1,3.2,0.05,0.16,0.21,0.05,0.21
Burnley,Jack Cork,ENG,"DF,MF",30,19,19,1648,0,0,0,0,0,0,0,0,0,0,0,1.4,1.4,0.6,0.07,0.03,0.11,0.07,0.11
Burnley,Chris Wood,NZL,FW,27,19,19,1565,8,0,0,0,1,0,0.46,0,0.46,0.46,0.46,6.9,6.9,0.5,0.39,0.03,0.42,0.39,0.42
Burnley,Ashley Westwood,ENG,MF,29,18,18,1620,0,5,0,0,6,0,0,0.28,0.28,0,0.28,0.8,0.8,2.5,0.04,0.14,0.18,0.04,0.18
Burnley,Ashley Barnes,AUT,FW,29,19,17,1361,6,0,1,1,4,0,0.4,0,0.4,0.33,0.33,5.4,4.6,0.5,0.35,0.03,0.39,0.3,0.34
Burnley,Erik Pieters,NED,DF,30,15,14,1234,0,3,0,0,1,0,0,0.22,0.22,0,0.22,0.2,0.2,1,0.01,0.07,0.09,0.01,0.09
Burnley,Jeff Hendrick,IRL,MF,27,16,14,1233,2,1,0,0,5,0,0.15,0.07,0.22,0.15,0.22,1,1,0.5,0.07,0.04,0.11,0.07,0.11
Burnley,Matthew Lowton,ENG,DF,30,12,12,1080,0,1,0,0,2,0,0,0.08,0.08,0,0.08,0,0,1.1,0,0.09,0.09,0,0.09
Burnley,Phil Bardsley,SCO,DF,34,9,9,810,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0.3,0.01,0.04,0.05,0.01,0.05
Burnley,Charlie Taylor,ENG,DF,25,9,7,656,0,0,0,0,1,0,0,0,0,0,0,0,0,0.4,0,0.06,0.07,0,0.07
Burnley,Jay Rodriguez,ENG,FW,30,21,5,771,3,0,0,0,1,0,0.35,0,0.35,0.35,0.35,2.5,2.5,0.4,0.29,0.05,0.34,0.29,0.34
Burnley,Robbie Brady,IRL,"FW,MF",27,13,5,396,1,2,0,0,1,0,0.23,0.45,0.68,0.23,0.68,0.9,0.9,0.2,0.21,0.05,0.26,0.21,0.26
Burnley,Jóhann Berg Guðmundsson,ISL,"FW,MF",28,7,4,401,1,0,0,0,0,0,0.22,0,0.22,0.22,0.22,0.6,0.6,0.5,0.14,0.11,0.24,0.14,0.24
Burnley,Aaron Lennon,ENG,"FW,MF",32,12,3,386,0,0,0,0,2,0,0,0,0,0,0,0,0,0.1,0.01,0.02,0.03,0.01,0.03
Burnley,Danny Drinkwater,ENG,MF,29,1,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burnley,Matěj Vydra,CZE,FW,27,5,0,83,0,1,0,0,0,0,0,1.08,1.08,0,1.08,0.2,0.2,0,0.17,0.05,0.22,0.17,0.22
Burnley,Kevin Long,IRL,DF,28,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burnley,Anthony Driscoll-Glennon,ENG,DF,19,0,0,,,,,,,,,,,,,,,,,,,,
Burnley,Ben Gibson,ENG,DF,26,0,0,,,,,,,,,,,,,,,,,,,,
Burnley,Mace Goodridge,ENG,MF,19,0,0,,,,,,,,,,,,,,,,,,,,
Burnley,Joe Hart,ENG,GK,32,0,0,,,,,,,,,,,,,,,,,,,,
Chelsea,Kepa Arrizabalaga,ESP,GK,24,21,21,1890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chelsea,Mason Mount,ENG,MF,20,21,19,1715,5,2,0,0,3,0,0.26,0.1,0.37,0.26,0.37,4.7,4.7,1.8,0.25,0.1,0.34,0.25,0.34
Chelsea,César Azpilicueta,ESP,DF,29,19,19,1700,1,2,0,0,0,0,0.05,0.11,0.16,0.05,0.16,1.4,1.4,2.6,0.07,0.14,0.21,0.07,0.21
Chelsea,Tammy Abraham,ENG,FW,21,20,19,1583,12,3,0,0,2,0,0.68,0.17,0.85,0.68,0.85,9.4,9.4,2.2,0.53,0.12,0.66,0.53,0.66
Chelsea,Kurt Zouma,FRA,DF,24,20,18,1668,0,0,0,0,3,0,0,0,0,0,0,0.6,0.6,0.2,0.03,0.01,0.05,0.03,0.05
Chelsea,Willian,BRA,MF,30,20,16,1454,4,4,1,1,2,0,0.25,0.25,0.5,0.19,0.43,2.7,2,3.7,0.17,0.23,0.4,0.12,0.35
Chelsea,Jorginho,ITA,MF,27,19,16,1427,2,2,1,1,8,0,0.13,0.13,0.25,0.06,0.19,1.9,1.2,1.7,0.12,0.11,0.23,0.07,0.18
Chelsea,Mateo Kovačić,CRO,MF,25,20,14,1331,1,3,0,0,6,0,0.07,0.2,0.27,0.07,0.27,0.6,0.6,1.5,0.04,0.1,0.14,0.04,0.14
Chelsea,Fikayo Tomori,ENG,DF,21,14,14,1229,1,0,0,0,3,0,0.07,0,0.07,0.07,0.07,0.6,0.6,0.2,0.04,0.01,0.05,0.04,0.05
Chelsea,N'Golo Kanté,FRA,MF,28,14,12,1124,3,0,0,0,3,0,0.24,0,0.24,0.24,0.24,1.3,1.3,1.8,0.1,0.14,0.25,0.1,0.25
Chelsea,Christian Pulisic,USA,MF,20,16,12,1076,5,2,0,0,0,0,0.42,0.17,0.59,0.42,0.59,5.1,5.1,2,0.43,0.17,0.6,0.43,0.6
Chelsea,Emerson Palmieri,ITA,DF,24,12,12,918,0,0,0,0,1,0,0,0,0,0,0,0.8,0.8,1.2,0.08,0.11,0.19,0.08,0.19
Chelsea,Andreas Christensen,DEN,DF,23,8,8,672,0,0,0,0,2,0,0,0,0,0,0,0.2,0.2,0.4,0.03,0.06,0.08,0.03,0.08
Chelsea,Marcos Alonso,ESP,DF,28,8,6,588,1,2,0,0,3,0,0.15,0.31,0.46,0.15,0.46,0.4,0.4,0.8,0.06,0.12,0.19,0.06,0.19
Chelsea,Antonio Rüdiger,GER,DF,26,6,6,495,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0,0.01,0.01,0.02,0.01,0.02
Chelsea,Reece James,ENG,,19,10,5,510,0,1,0,0,1,0,0,0.18,0.18,0,0.18,0.3,0.3,1.1,0.05,0.19,0.24,0.05,0.24
Chelsea,Ross Barkley,ENG,MF,25,6,5,339,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.26,0.27,0.53,0.26,0.53
Chelsea,Pedro,ESP,"FW,MF",32,5,4,312,0,0,0,0,0,0,0,0,0,0,0,1.2,1.2,0.5,0.33,0.14,0.47,0.33,0.47
Chelsea,Callum Hudson-Odoi,ENG,MF,18,13,3,410,0,3,0,0,1,0,0,0.66,0.66,0,0.66,1.2,1.2,1,0.26,0.23,0.49,0.26,0.49
Chelsea,Olivier Giroud,FRA,FW,32,5,2,191,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0.5,0.28,0.25,0.53,0.28,0.53
Chelsea,Michy Batshuayi,BEL,FW,25,12,0,118,1,1,0,0,0,0,0.76,0.76,1.53,0.76,1.53,1.6,1.6,0.2,1.25,0.12,1.38,1.25,1.38
Chelsea,Tariq Lamptey,ENG,MF,18,1,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.39,0.39,0,0.39
Chelsea,Billy Gilmour,SCO,MF,18,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.57,0.57,0,0.57
Chelsea,Willy Caballero,ARG,GK,37,0,0,,,,,,,,,,,,,,,,,,,,
Chelsea,Marc Guéhi,ENG,,19,0,0,,,,,,,,,,,,,,,,,,,,
Chelsea,Kenedy,BRA,"FW,MF",23,0,0,,,,,,,,,,,,,,,,,,,,
Crystal Palace,Wilfried Zaha,CIV,"FW,MF",26,21,20,1825,3,2,0,0,3,0,0.15,0.1,0.25,0.15,0.25,2.4,2.4,1.5,0.12,0.07,0.19,0.12,0.19
Crystal Palace,Luka Milivojević,SRB,MF,28,20,20,1786,2,1,2,2,8,0,0.1,0.05,0.15,0,0.05,2.1,0.6,1.9,0.1,0.1,0.2,0.03,0.12
Crystal Palace,James McArthur,SCO,MF,31,20,20,1738,0,2,0,0,3,0,0,0.1,0.1,0,0.1,1.9,1.9,1.2,0.1,0.06,0.16,0.1,0.16
Crystal Palace,Jordan Ayew,GHA,FW,27,20,20,1673,5,1,0,0,3,0,0.27,0.05,0.32,0.27,0.32,4.6,4.6,1.4,0.25,0.08,0.32,0.25,0.32
Crystal Palace,Vicente Guaita,ESP,GK,32,19,19,1710,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crystal Palace,Cheikhou Kouyaté,SEN,"DF,MF",29,19,17,1466,1,0,0,0,1,0,0.06,0,0.06,0.06,0.06,1.3,1.3,0.5,0.08,0.03,0.12,0.08,0.12
Crystal Palace,Patrick van Aanholt,NED,DF,28,17,17,1444,2,0,1,1,0,0,0.12,0,0.12,0.06,0.06,1.5,0.8,0.9,0.09,0.06,0.15,0.05,0.1
Crystal Palace,Martin Kelly,ENG,"DF,MF",29,16,14,1308,0,1,0,0,0,0,0,0.07,0.07,0,0.07,0.1,0.1,0.9,0.01,0.06,0.07,0.01,0.07
