team,player,nation,pos,age,mp,starts,min,gls,ast,pk,pkatt,crdy,crdr,gls2,ast2,ga,gpk,gapk,xg,npxg,xa,xg2,xa2,xgxa,npxg2,npxgxa
Arsenal,Bernd Leno,GER,GK,27,21,21,1890,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Pierre-Emerick Aubameyang,GAB,"FW,MF",30,21,21,1878,13,1,1,1,3,0,0.62,0.05,0.67,0.58,0.62,9.4,8.6,1.6,0.45,0.08,0.53,0.41,0.49
Arsenal,David Luiz,BRA,"DF,MF",32,18,18,1620,2,0,0,0,4,0,0.11,0,0.11,0.11,0.11,1.4,1.4,0.3,0.08,0.02,0.1,0.08,0.1
Arsenal,Sokratis Papastathopoulos,GRE,DF,31,17,17,1517,2,0,0,0,5,0,0.12,0,0.12,0.12,0.12,0.9,0.9,0.2,0.05,0.01,0.06,0.05,0.06
Arsenal,Mattéo Guendouzi,FRA,MF,20,18,16,1413,0,1,0,0,5,0,0,0.06,0.06,0,0.06,0.6,0.6,1.1,0.04,0.07,0.1,0.04,0.1
Arsenal,Granit Xhaka,SUI,MF,26,15,15,1278,0,1,0,0,4,0,0,0.07,0.07,0,0.07,0.2,0.2,0.7,0.01,0.05,0.06,0.01,0.06
Arsenal,Calum Chambers,ENG,DF,24,14,13,1103,1,1,0,0,5,0,0.08,0.08,0.16,0.08,0.16,0.6,0.6,0.8,0.05,0.06,0.12,0.05,0.12
Arsenal,Lucas Torreira,URU,MF,23,18,12,1079,1,0,0,0,3,0,0.08,0,0.08,0.08,0.08,1.5,1.5,0.7,0.13,0.06,0.19,0.13,0.19
Arsenal,Ainsley Maitland-Niles,ENG,"FW,MF",21,12,12,1030,0,2,0,0,4,1,0,0.17,0.17,0,0.17,0.2,0.2,1.5,0.02,0.13,0.15,0.02,0.15
Arsenal,Nicolas Pépé,CIV,FW,24,18,11,1084,3,3,1,1,2,0,0.25,0.25,0.5,0.17,0.42,3.7,3,2.1,0.31,0.18,0.49,0.25,0.42
Arsenal,Sead Kolašinac,BIH,"DF,MF",26,15,11,999,0,2,0,0,3,0,0,0.18,0.18,0,0.18,0.7,0.7,1,0.07,0.09,0.16,0.07,0.16
Arsenal,Alexandre Lacazette,FRA,FW,28,14,11,939,5,1,0,0,4,0,0.48,0.1,0.58,0.48,0.58,3.8,3.8,1,0.36,0.1,0.46,0.36,0.46
Arsenal,Mesut Özil,GER,MF,30,11,11,910,0,1,0,0,0,0,0,0.1,0.1,0,0.1,0.8,0.8,1.5,0.08,0.14,0.22,0.08,0.22
Arsenal,Bukayo Saka,ENG,MF,17,12,7,697,0,1,0,0,3,0,0,0.13,0.13,0,0.13,0.7,0.7,0.8,0.09,0.11,0.2,0.09,0.2
Arsenal,Dani Ceballos,ESP,MF,22,11,7,664,0,2,0,0,0,0,0,0.27,0.27,0,0.27,0.3,0.3,0.7,0.05,0.09,0.13,0.05,0.13
Arsenal,Joe Willock,ENG,MF,19,16,6,547,0,0,0,0,1,0,0,0,0,0,0,0.8,0.8,0.5,0.13,0.08,0.21,0.13,0.21
Arsenal,Reiss Nelson,ENG,MF,19,9,5,439,0,0,0,0,1,0,0,0,0,0,0,0.6,0.6,0.3,0.12,0.06,0.18,0.12,0.18
Arsenal,Kieran Tierney,SCO,DF,22,5,4,299,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.5,0.02,0.16,0.19,0.02,0.19
Arsenal,Martinelli,BRA,MF,18,10,3,366,1,0,0,0,1,0,0.25,0,0.25,0.25,0.25,0.8,0.8,0.2,0.19,0.05,0.24,0.19,0.24
Arsenal,Nacho Monreal,ESP,DF,33,3,3,270,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.03,0.08,0.11,0.03,0.11
Arsenal,Héctor Bellerín,ESP,DF,24,3,3,263,0,0,0,0,2,0,0,0,0,0,0,0,0,0.1,0.01,0.03,0.05,0.01,0.05
Arsenal,Shkodran Mustafi,GER,DF,27,3,1,170,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.18,0,0.18,0.18,0.18
Arsenal,Henrikh Mkhitaryan,ARM,"FW,MF",30,3,1,111,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.2,0.18,0.18,0.37,0.18,0.37
Arsenal,Emile Smith-Rowe,ENG,,19,2,1,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Rob Holding,ENG,DF,23,1,1,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Tyreece John-Jules,ENG,FW,18,0,0,,,,,,,,,,,,,,,,,,,,
Arsenal,Emiliano Martínez,ARG,GK,26,0,0,,,,,,,,,,,,,,,,,,,,
Arsenal,Konstantinos Mavropanos,GRE,DF,21,0,0,,,,,,,,,,,,,,,,,,,,
Aston Villa,Wesley Moraes,BRA,FW,22,21,21,1790,5,1,0,1,3,0,0.25,0.05,0.3,0.25,0.3,5.2,4.4,0.9,0.26,0.04,0.31,0.22,0.26
Aston Villa,Tom Heaton,ENG,GK,33,20,20,1795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aston Villa,Jack Grealish,ENG,MF,23,19,19,1704,6,5,0,1,5,0,0.32,0.26,0.58,0.32,0.58,4.7,3.9,3.2,0.25,0.17,0.42,0.21,0.38
Aston Villa,John McGinn,SCO,MF,24,18,18,1538,3,2,0,0,2,0,0.18,0.12,0.29,0.18,0.29,2.7,2.7,1.9,0.16,0.11,0.27,0.16,0.27
Aston Villa,Tyrone Mings,ENG,DF,26,17,17,1463,1,1,0,0,3,0,0.06,0.06,0.12,0.06,0.12,0.7,0.7,0.4,0.04,0.03,0.07,0.04,0.07
Aston Villa,Frederic Guilbert,FRA,DF,24,17,15,1360,0,2,0,0,5,0,0,0.13,0.13,0,0.13,0.2,0.2,1.2,0.01,0.08,0.09,0.01,0.09
Aston Villa,Anwar El Ghazi,NED,"FW,MF",24,18,15,1231,3,4,0,0,2,0,0.22,0.29,0.51,0.22,0.51,4.1,4.1,2.1,0.3,0.15,0.45,0.3,0.45
Aston Villa,Matt Targett,ENG,DF,23,14,14,1151,1,2,0,0,3,0,0.08,0.16,0.23,0.08,0.23,0.2,0.2,2.1,0.02,0.16,0.18,0.02,0.18
Aston Villa,Douglas Luiz,BRA,MF,21,19,13,1233,2,1,0,0,2,0,0.15,0.07,0.22,0.15,0.22,1.4,1.4,0.6,0.1,0.04,0.15,0.1,0.15
Aston Villa,Björn Engels,BEL,DF,24,14,13,1222,0,0,0,0,1,0,0,0,0,0,0,0.3,0.3,0,0.02,0,0.02,0.02,0.02
Aston Villa,Marvelous Nakamba,ZIM,MF,25,14,13,1152,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0.5,0.01,0.04,0.04,0.01,0.04
Aston Villa,Trézéguet,EGY,MF,24,18,11,1069,3,1,0,0,4,1,0.25,0.08,0.34,0.25,0.34,2.3,2.3,0.5,0.19,0.05,0.24,0.19,0.24
Aston Villa,Conor Hourihane,IRL,MF,28,14,9,775,3,2,0,0,2,0,0.35,0.23,0.58,0.35,0.58,0.9,0.9,2.4,0.11,0.28,0.39,0.11,0.39
Aston Villa,Ezri Konsa,ENG,FW,21,9,8,735,0,1,0,0,0,0,0,0.12,0.12,0,0.12,0.3,0.3,0.1,0.03,0.01,0.04,0.03,0.04
Aston Villa,Neil Taylor,WAL,DF,30,9,7,703,0,0,0,0,2,0,0,0,0,0,0,0.2,0.2,0.1,0.03,0.01,0.04,0.03,0.04
Aston Villa,Ahmed Elmohamady,EGY,"DF,MF",31,10,6,611,0,1,0,0,0,0,0,0.15,0.15,0,0.15,0.2,0.2,1.2,0.04,0.17,0.21,0.04,0.21
Aston Villa,Kortney Hause,ENG,DF,24,5,5,450,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0,0.03,0,0.03,0.03,0.03
Aston Villa,Jota,ESP,MF,28,8,4,313,0,1,0,0,0,0,0,0.29,0.29,0,0.29,0.1,0.1,0.6,0.04,0.18,0.21,0.04,0.21
Aston Villa,Henri Lansbury,ENG,MF,28,8,2,178,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.05,0.03,0.08,0.05,0.08
Aston Villa,Jed Steer,ENG,GK,26,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aston Villa,Jonathan Kodjia,CIV,FW,29,6,0,111,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.05,0,0.05,0.05,0.05
Aston Villa,Ørjan Nyland,NOR,GK,28,2,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aston Villa,Keinan Davis,ENG,,21,6,0,74,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.63,0.05,0.68,0.63,0.68
Aston Villa,James Chester,WAL,DF,30,0,0,,,,,,,,,,,,,,,,,,,,
Bournemouth,Aaron Ramsdale,ENG,GK,21,21,21,1890,0,1,0,0,0,0,0,0.05,0.05,0,0.05,0,0,0,0,0,0,0,0
Bournemouth,Callum Wilson,ENG,FW,27,20,18,1630,5,0,0,0,4,0,0.28,0,0.28,0.28,0.28,5,5,1.3,0.29,0.08,0.37,0.29,0.37
Bournemouth,Philip Billing,DEN,MF,23,19,18,1505,0,1,0,0,7,0,0,0.06,0.06,0,0.06,0.8,0.8,0.5,0.05,0.03,0.08,0.05,0.08
Bournemouth,Steve Cook,ENG,"DF,MF",28,17,17,1530,1,0,0,0,3,0,0.06,0,0.06,0.06,0.06,0.7,0.7,0.3,0.04,0.02,0.06,0.04,0.06
Bournemouth,Diego Rico,ESP,DF,26,17,17,1435,0,2,0,0,6,0,0,0.13,0.13,0,0.13,0.2,0.2,1.8,0.01,0.12,0.13,0.01,0.13
Bournemouth,Jefferson Lerma,COL,MF,24,18,16,1498,0,1,0,0,8,0,0,0.06,0.06,0,0.06,0.4,0.4,0.8,0.03,0.05,0.08,0.03,0.08
Bournemouth,Nathan Aké,NED,"DF,MF",24,16,16,1385,1,1,0,0,1,0,0.06,0.06,0.13,0.06,0.13,1,1,0.6,0.06,0.04,0.1,0.06,0.1
Bournemouth,Joshua King,NOR,FW,27,16,15,1311,3,2,1,1,0,0,0.21,0.14,0.34,0.14,0.27,3.9,3.2,1.9,0.27,0.13,0.4,0.22,0.35
Bournemouth,Ryan Fraser,SCO,MF,25,20,14,1419,1,3,0,0,2,0,0.06,0.19,0.25,0.06,0.25,2,2,2.4,0.13,0.16,0.29,0.13,0.29
Bournemouth,Harry Wilson,WAL,MF,22,17,13,1012,6,0,0,0,1,0,0.53,0,0.53,0.53,0.53,2.1,2.1,1.3,0.19,0.12,0.32,0.19,0.32
Bournemouth,Dominic Solanke,ENG,FW,21,18,10,952,0,0,0,0,1,0,0,0,0,0,0,1.8,1.8,0.7,0.19,0.07,0.26,0.19,0.26
Bournemouth,Chris Mepham,WAL,,21,11,10,900,1,0,0,0,1,0,0.1,0,0.1,0.1,0.1,0.6,0.6,0.1,0.07,0.01,0.08,0.07,0.08
Bournemouth,Adam Smith,ENG,DF,28,10,10,840,0,1,0,0,2,0,0,0.11,0.11,0,0.11,0.5,0.5,0.5,0.05,0.06,0.11,0.05,0.11
Bournemouth,Jack Stacey,ENG,"FW,MF",23,9,9,798,0,1,0,0,2,0,0,0.11,0.11,0,0.11,0.2,0.2,0.5,0.02,0.06,0.07,0.02,0.07
Bournemouth,Lewis Cook,ENG,MF,22,15,9,797,0,0,0,0,3,0,0,0,0,0,0,0.2,0.2,0.7,0.02,0.09,0.11,0.02,0.11
